year,customer,pocket price,demand,covestro,tosoh,wanhua,kmc,basf,sabic,huntsman,other,vn_pp,seap_pp,apac_pp
2022,AN THANH PHAT,2,2799.5,1399.5,1000,200,200,0,0,0,0,2.1,2.11,2.07
2022,DOAN MINH,1.88,5258,1678,1400,1280,900,0,0,0,0,2.1,2.11,2.07
2022,GIA LONG,1.95,359.5,99.5,260,0,0,0,0,0,0,2.1,2.11,2.07
2022,HMC,2.13,920,480,0,240,200,0,0,0,0,2.1,2.11,2.07
2022,LONG DANG,2.35,2620,680,700,900,340,0,0,0,0,2.1,2.11,2.07
2022,NGOC DAN,1.92,5134,3874,400,420,340,100,0,0,0,2.1,2.11,2.07
2022,SANAKY,2.11,1800,1400,0,400,0,0,0,0,0,2.1,2.11,2.07
2022,TONMAT,2.31,2420,220,1000,800,0,0,0,400,0,2.1,2.11,2.07
2022,WANEK,2.29,171,171,0,0,0,0,0,0,0,2.1,2.11,2.07
2023,AN THANH PHAT,1.63,3000,1620,1100,200,80,0,0,0,0,1.621,1.65,1.84
2023,DOAN MINH,1.62,5740,1380,800,2900,660,0,0,0,0,1.621,1.65,1.84
2023,GIA LONG,1.6,340,100,80,160,0,0,0,0,0,1.621,1.65,1.84
2023,HMC,1.66,420,240,0,100,80,0,0,0,0,1.621,1.65,1.84
2023,LONG DANG,1.64,2600,400,2000,200,0,0,0,0,0,1.621,1.65,1.84
2023,NEW MATERIAL,1.62,840,280,260,300,0,0,0,0,0,1.621,1.65,1.84
2023,NGOC DAN,1.6,5120,3520,600,300,500,200,0,0,0,1.621,1.65,1.84
2023,SANAKY,1.6,1000,700,0,300,0,0,0,0,0,1.621,1.65,1.84
2023,TONMAT,1.63,2360,60,1300,1000,0,0,0,0,0,1.621,1.65,1.84
2023,WANEK,1.61,153,153,0,0,0,0,0,0,0,1.621,1.65,1.84
2024,AN THANH PHAT,1.89,4570,2140,1350,420,360,0,300,0,0,1.87,1.84,1.9
2024,DOAN MINH,1.87,7660,1700,1160,3000,1800,0,0,0,0,1.87,1.84,1.9
2024,GIA LONG,1.94,340,120,100,120,0,0,0,0,0,1.87,1.84,1.9
2024,HMC,1.87,520,480,0,0,40,0,0,0,0,1.87,1.84,1.9
2024,JM ENTERPRISE,1.82,200,200,0,0,0,0,0,0,0,1.87,1.84,1.9
2024,LONG DANG,1.88,2500,300,2000,100,100,0,0,0,0,1.87,1.84,1.9
2024,NEW MATERIAL,1.86,830,420,160,0,0,250,0,0,0,1.87,1.84,1.9
2024,NGOC DAN,1.86,5820,3520,700,500,400,700,0,0,0,1.87,1.84,1.9
2024,PUS,1.93,3860,320,80,2300,660,500,0,0,0,1.87,1.84,1.9
2024,SANAKY,1.72,1600,500,0,900,200,0,0,0,0,1.87,1.84,1.9
2024,SHORT HILLS,1.97,300,300,0,0,0,0,0,0,0,1.87,1.84,1.9
2024,TONMAT,1.9,2340,100,1360,140,300,0,0,440,0,1.87,1.84,1.9
2024,WANEK,1.79,102,102,0,0,0,0,0,0,0,1.87,1.84,1.9
2025,AN THANH PHAT,1.9,4650,280,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,DOAN MINH,1.83,8000,520,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,GIA LONG,1.95,380,40,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,HMC,1.85,800,340,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,JM ENTERPRISE,1.52,200,80,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,LONG DANG,2.01,2220,40,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,NEW MATERIAL,1.79,960,240,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,NGOC DAN,1.9,6160,1120,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,SANAKY,0,1900,0,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,TONMAT,0,2425,0,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,WANEK,0,120,0,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,PUS,0,4100,0,0,0,0,0,0,0,0,1.85,1.95,1.86
2025,SHORT HILLS,1.94,300,280,0,0,0,0,0,0,0,1.85,1.95,1.86
